Year,site_name,launch_site,Longitude,Latitude,Category,Result,Count
1957,Akita Rocket Range (ATC),AKT,140.06,39.57,Suborbital,Success,6
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,18
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Pad Explosion,1
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,80
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Orbital,Failure,1
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Failure,2
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Success,7
1957,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Test,Success,4
1957,"Centre d'Essais et de Recherches d'Engins Speciaux, Ile du Levant, Var",CERES,6.47,43.05,Suborbital,Success,4
1957,"EPG (Eniwetok Proving Grounds), Eniwetok (Enewetak) Atoll, Marshall Is.",ENW,162.25,11.5,High Altitude,Failure,3
1957,"EPG (Eniwetok Proving Grounds), Eniwetok (Enewetak) Atoll, Marshall Is.",ENW,162.25,11.5,High Altitude,Success,3
1957,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Suborbital,Failure,5
1957,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Suborbital,Success,14
1957,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,2
1957,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,121
1957,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Suborbital,Success,19
1957,"Guam, Marianas Islands",GUAM,144.9,13.6,Suborbital,Success,3
1957,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,1
1957,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,2
1957,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,17
1957,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Military,Failure,1
1957,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Military,Success,5
1957,"1957 NRL USS Plymouth Rock Cruise, Atlantic Ocean",IGY01,-54,55,Suborbital,Failure,4
1957,"1957 NRL USS Plymouth Rock Cruise, Atlantic Ocean",IGY01,-54,55,Suborbital,Success,14
1957,"1957 NRL USS Glacier cruise, Atlantic and Pacific Oceans",IGY02,-0.99,0.83,Suborbital,Failure,9
1957,"1957 NRL USS Glacier cruise, Atlantic and Pacific Oceans",IGY02,-0.99,0.83,Suborbital,Success,27
1957,"Mercury, Nevada",MRNV,-115.98,36.67,Suborbital,Success,9
