Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
FC,,FC,LS,CA,1956,1998,FC    -,"Churchill Research Range, Fort Churchill, Manitoba, Canada",-,-93.8203,58.7343,0.001,NRCC,-,-,-
FEC,,FEC,LS,LUNA,21-Sep-70,21-Sep-70,FEC   KT-406,"KT No. 406, Luna-16 Site, Mare Fecunditatis, Langrenus A2",Luna,56.3,-0.68,0.01,NPOL,-,-,LUNA
FMR,,FMR,LS,LUNA,06-Feb-71,06-Feb-71,FMR   LM8-DS,"LM 8 Descent Stage, Fra Mauro Base, Fra Mauro, Montes Riphaeus B1",Luna,-19.27,-3.67,0.01,NASA,-,-,LUNA
FTB,,FTB,LS,US,1945,1970?,FTB   -,"Hueco Range, Fort Bliss, Texas",-,-106.65,31.8,0.1,USA,-,-,WS
FW,,FW,LS,US,1958,*,FW    -,"Fort Wingate Depot Activity, New Mexico",-,-108.6,35.45,0.005,SMDC,-,-,-
FWAK,,FWAK,LS,US,1959,1971,Ft Wainwright,"Ft Wainwright, Alaska",-,-147.633,64.83,0.02,USAF,-,-,-
FXM,,FXM,LS,CA,15-Mar-71,22-Mar-71,FXM   -,"FOX-MAIN DEW site, Hall Beach, Nunavut, Canada",-,-81.224,68.757,0.002,NASA,-,-,-
GAN,,GAN,LS,MV,-,-,GANI  -,"Gan Island, Addu Atoll, Maldives, Indian Ocean",-,73.15,-0.6833,0.01,UKMO,-,-,-
GANC,,GANC,LS,ESCN,Apr-97,Apr-97,GAN   -,"Base Aerea de Gando, Gran Canaria",-,-15.32,27.92,0.02,OSC,-,-,-
GF,,GF,LS,US,-,-,GF    -,Grand Forks AFB,-,-97.4,47.96,0.05,USAF,,,-
GILB,,GILB,LS,US,1964,1970?,GILB  -,"Gilson Butte, Utah",-,-110.58,38.59,0.05,USA,-,-,-
GILLAM,,GILLAM,LS,CA,15-Jan-72,02-Feb-73,GILLA -,"Gillam, Manitoba",-,-96,56.1,1,NRC,-,-,-
NIIP-53,,GIK-1,LS,SU,1960,1993,NIIP-53,"53-y Nauchno-Issledovatelskiy Ispitatelniy Poligon,",Plesetsk,40.5,62.9,0.02,RVSN,Plesetsk,-,GIK-1
GNIIPV,,GIK-1,LS,RU,1993,01-Nov-94,GNIIP,"GNIIP, VKS section, Plesetsk, Rossiya",-,40.5,62.9,0.02,RVSN,Plesetsk,-,GIK-1
